dataset,case_name,condition,role,qualitative,map,target_fraction,score_mean,score_q99,score_max,active_fraction_010,response_mass_near_gt,ap_exact,ap_tol2,precision_top_p005,skeleton_recall_top_p005,precision_top_p01,skeleton_recall_top_p01,precision_top_p02,skeleton_recall_top_p02,precision_top_p05,skeleton_recall_top_p05
khanhha,cracktree200_6266.jpg,original,anchor,True,verified_frangi_consensus,0.0027702487244897957,0.00041542126564309,0.0,0.5035779476165771,0.001295440051020408,0.8628063797950745,0.028546110470497633,0.06337778245594855,0.22709163346613545,0.2446043165467626,0.1254980079681275,0.2517985611510791,0.06673306772908366,0.2589928057553957,0.04224790753288163,0.302158273381295
khanhha,cracktree200_6266.jpg,noisy1,anchor,True,frangi_similarity_historical,0.0027702487244897957,0.08014287799596786,0.9514204263687134,0.999597430229187,0.23176419005102042,0.09153607487678528,0.013780381314468055,0.07824817630143792,0.0199203187250996,0.07194244604316546,0.07171314741035857,0.12949640287769784,0.08964143426294821,0.2589928057553957,0.11080111598246313,0.5467625899280576
khanhha,cracktree200_6266.jpg,noisy1,anchor,True,frangi_relative,0.0027702487244897957,0.016717875376343727,0.20468789339065552,0.6952815055847168,0.0359733737244898,0.060816697776317596,0.012750756137147719,0.05448766102315738,0.11952191235059761,0.09352517985611511,0.10557768924302789,0.1510791366906475,0.08565737051792828,0.2517985611510791,0.07134316460741331,0.4892086330935252
khanhha,cracktree200_6266.jpg,noisy1,anchor,True,black_tophat,0.0027702487244897957,0.2594740092754364,0.8231490850448608,0.9193734526634216,0.4889588647959184,0.053170543164014816,0.05614648202818982,0.1796185273701356,0.5338645418326693,0.43884892086330934,0.3884462151394422,0.5035971223021583,0.2679282868525896,0.6402877697841727,0.16141889198884019,0.7913669064748201
khanhha,cracktree200_6266.jpg,noisy1,anchor,True,derivative_pair,0.0027702487244897957,0.14374896883964539,0.7731664180755615,0.9633395075798035,0.36362005739795916,0.05499644577503204,0.022314274610561905,0.0624100785193787,0.13147410358565736,0.28776978417266186,0.11952191235059761,0.4460431654676259,0.099601593625498,0.6402877697841727,0.08170585890793144,0.8201438848920863
khanhha,cracktree200_6266.jpg,noisy1,anchor,True,paired_profile,0.0027702487244897957,0.15351952612400055,0.7013778686523438,0.9010551571846008,0.4196627869897959,0.058451343327760696,0.032352477210128974,0.11059695594401237,0.3147410358565737,0.43884892086330934,0.250996015936255,0.60431654676259,0.19820717131474103,0.7266187050359713,0.12993224392188124,0.841726618705036
khanhha,cracktree200_6266.jpg,noisy1,anchor,True,line_step_bic,0.0027702487244897957,0.14084850251674652,0.705544114112854,0.8663683533668518,0.3887914540816326,0.06226931884884834,0.042606641361602623,0.11495801507405601,0.30278884462151395,0.4028776978417266,0.250996015936255,0.5467625899280576,0.20019920318725098,0.7122302158273381,0.13232363491430849,0.8489208633093526
khanhha,cracktree200_6266.jpg,noisy1,anchor,True,phase_symmetry,0.0027702487244897957,0.07497444748878479,0.35811758041381836,0.6861950159072876,0.29922672193877553,0.06236929073929787,0.07874707938002119,0.17275027431124365,0.50199203187251,0.4676258992805755,0.35856573705179284,0.60431654676259,0.25,0.697841726618705,0.15145476285372658,0.920863309352518
khanhha,cracktree200_6266.jpg,noisy1,anchor,True,ofs,0.0027702487244897957,0.00013864120410289615,0.0,0.18467506766319275,0.0006178252551020409,0.7488424777984619,0.029497187586059286,0.06369779848108488,0.27091633466135456,0.2733812949640288,0.13745019920318724,0.2733812949640288,0.07768924302788845,0.28776978417266186,0.046632124352331605,0.33093525179856115
khanhha,cracktree200_6266.jpg,noisy1,anchor,True,ofs_reflectance,0.0027702487244897957,0.00014649062359239906,0.0,0.19141735136508942,0.0005978954081632653,0.7281200289726257,0.029037669427002682,0.06451033044253439,0.28286852589641437,0.2805755395683453,0.14342629482071714,0.2805755395683453,0.08067729083665338,0.2949640287769784,0.047827819848545235,0.3381294964028777
khanhha,cracktree200_6266.jpg,noisy1,anchor,True,fusion_ofs_profile,0.0027702487244897957,0.00039808687870390713,0.0,0.3822285830974579,0.0015744579081632653,0.7349684238433838,0.032164240452560736,0.06572424312191397,0.27091633466135456,0.2733812949640288,0.13745019920318724,0.2733812949640288,0.07768924302788845,0.28776978417266186,0.046632124352331605,0.33093525179856115
khanhha,cracktree200_6266.jpg,noisy1,anchor,True,fusion_precision,0.0027702487244897957,0.00048609389341436327,0.0,0.4645487368106842,0.0018534757653061226,0.7317968010902405,0.033297519355741115,0.0689473496444996,0.27091633466135456,0.2733812949640288,0.13745019920318724,0.2733812949640288,0.07768924302788845,0.28776978417266186,0.046632124352331605,0.33093525179856115
khanhha,cracktree200_6266.jpg,noisy1,anchor,True,fusion_reflectance,0.0027702487244897957,0.0005142942536622286,0.0,0.467171311378479,0.0018933354591836734,0.7097511887550354,0.03365212002087409,0.07015927298178276,0.28286852589641437,0.2805755395683453,0.14342629482071714,0.2805755395683453,0.08067729083665338,0.2949640287769784,0.047827819848545235,0.3381294964028777
khanhha,cracktree200_6266.jpg,noisy1,anchor,True,verified_frangi_ofs,0.0027702487244897957,0.0004047929251100868,0.0,0.41161102056503296,0.0015345982142857143,0.7564032673835754,0.03388783500027181,0.06763702648363248,0.26693227091633465,0.26618705035971224,0.13545816733067728,0.26618705035971224,0.07669322709163347,0.2805755395683453,0.046233559186927065,0.3237410071942446
khanhha,cracktree200_6266.jpg,noisy1,anchor,True,verified_frangi_bic,0.0027702487244897957,0.05111851915717125,0.6228317022323608,0.9138194918632507,0.15553252551020408,0.13223712146282196,0.08237973026889858,0.19520027755548508,0.5219123505976095,0.460431654676259,0.398406374501992,0.5179856115107914,0.27091633466135456,0.5971223021582733,0.1753686727779992,0.8129496402877698
khanhha,cracktree200_6266.jpg,noisy1,anchor,True,verified_frangi_v2,0.0027702487244897957,0.042603228241205215,0.557961642742157,0.919415295124054,0.12579719387755103,0.13960379362106323,0.08647942522769708,0.17776866014815335,0.5099601593625498,0.5107913669064749,0.3784860557768924,0.5755395683453237,0.27091633466135456,0.7122302158273381,0.17138302112395376,0.8776978417266187
khanhha,cracktree200_6266.jpg,noisy1,anchor,True,verified_frangi_consensus,0.0027702487244897957,0.0006157189491204917,0.0,0.5367132425308228,0.001913265306122449,0.7395026683807373,0.03382024265985618,0.06908507595164887,0.26693227091633465,0.26618705035971224,0.13545816733067728,0.26618705035971224,0.07669322709163347,0.2805755395683453,0.046233559186927065,0.3237410071942446
khanhha,cracktree200_6266.jpg,noisy2,anchor,True,frangi_similarity_historical,0.0027702487244897957,0.08531434088945389,0.9593309164047241,0.9995961785316467,0.23056839923469388,0.09739229083061218,0.014775631189553778,0.08493404978946437,0.0398406374501992,0.02158273381294964,0.07768924302788845,0.08633093525179857,0.10657370517928287,0.26618705035971224,0.12036667995217218,0.5323741007194245
khanhha,cracktree200_6266.jpg,noisy2,anchor,True,frangi_relative,0.0027702487244897957,0.034661345183849335,0.32802557945251465,0.7646056413650513,0.10082509566326531,0.07954630255699158,0.02259002871598685,0.09146230565137155,0.1593625498007968,0.1079136690647482,0.1593625498007968,0.2517985611510791,0.150398406374502,0.3597122302158273,0.12275807094459944,0.6330935251798561
khanhha,cracktree200_6266.jpg,noisy2,anchor,True,black_tophat,0.0027702487244897957,0.21263620257377625,0.8681975603103638,0.9340490698814392,0.33555883290816324,0.07260031998157501,0.037294465084562786,0.18836696603694092,0.4541832669322709,0.34532374100719426,0.40836653386454186,0.4244604316546763,0.3047808764940239,0.5251798561151079,0.1837385412514946,0.6834532374100719
khanhha,cracktree200_6266.jpg,noisy2,anchor,True,derivative_pair,0.0027702487244897957,0.1061614453792572,0.7673501968383789,0.9787586331367493,0.27046795280612246,0.06630092114210129,0.02429105291595867,0.0662766409409411,0.12749003984063745,0.2805755395683453,0.11155378486055777,0.39568345323741005,0.10258964143426295,0.60431654676259,0.09206855320844959,0.8273381294964028
khanhha,cracktree200_6266.jpg,noisy2,anchor,True,paired_profile,0.0027702487244897957,0.12018540501594543,0.7223736047744751,0.9268898963928223,0.3198341836734694,0.07147978991270065,0.025352569045462195,0.09442285970590493,0.21115537848605578,0.33093525179856115,0.18326693227091634,0.41007194244604317,0.16235059760956175,0.5827338129496403,0.12196094061379036,0.7410071942446043
khanhha,cracktree200_6266.jpg,noisy2,anchor,True,line_step_bic,0.0027702487244897957,0.2005627453327179,0.8069794178009033,0.9362594485282898,0.47865513392857145,0.058353252708911896,0.021716853703464805,0.10572845676769332,0.23107569721115537,0.28776978417266186,0.21314741035856574,0.460431654676259,0.1752988047808765,0.5611510791366906,0.1351135910721403,0.7410071942446043
khanhha,cracktree200_6266.jpg,noisy2,anchor,True,phase_symmetry,0.0027702487244897957,0.07646465301513672,0.39174365997314453,0.6409354209899902,0.30369100765306123,0.06668954342603683,0.07389396901833971,0.17503593331280548,0.4860557768924303,0.43884892086330934,0.3346613545816733,0.5539568345323741,0.2340637450199203,0.7266187050359713,0.14946193702670388,0.9064748201438849
khanhha,cracktree200_6266.jpg,noisy2,anchor,True,ofs,0.0027702487244897957,2.813902756315656e-05,0.0,0.11640521883964539,3.985969387755102e-05,0.7225943207740784,0.004594485343022287,0.03519988333883835,0.09163346613545817,0.12949640287769784,0.053784860557768925,0.12949640287769784,0.03286852589641434,0.14388489208633093,0.02869669190912714,0.18705035971223022
khanhha,cracktree200_6266.jpg,noisy2,anchor,True,ofs_reflectance,0.0027702487244897957,3.867158375214785e-05,0.0,0.12449570000171661,5.978954081632653e-05,0.658501923084259,0.0065446503477309985,0.03935215196064454,0.12350597609561753,0.1223021582733813,0.06772908366533864,0.1223021582733813,0.04083665338645418,0.1366906474820144,0.03188521323236349,0.17985611510791366
khanhha,cracktree200_6266.jpg,noisy2,anchor,True,fusion_ofs_profile,0.0027702487244897957,9.77266245172359e-05,0.0,0.3084626793861389,0.0004384566326530612,0.6910778880119324,0.004653979249873092,0.035116691275484675,0.09163346613545817,0.12949640287769784,0.053784860557768925,0.12949640287769784,0.03286852589641434,0.14388489208633093,0.02869669190912714,0.18705035971223022
khanhha,cracktree200_6266.jpg,noisy2,anchor,True,fusion_precision,0.0027702487244897957,0.00013449005200527608,0.0,0.36685845255851746,0.0005181760204081633,0.6876721382141113,0.004744452325957678,0.03603768119045981,0.09163346613545817,0.12949640287769784,0.053784860557768925,0.12949640287769784,0.03286852589641434,0.14388489208633093,0.02869669190912714,0.18705035971223022
khanhha,cracktree200_6266.jpg,noisy2,anchor,True,fusion_reflectance,0.0027702487244897957,0.00019689588225446641,0.0,0.38127192854881287,0.0008769132653061224,0.5981109738349915,0.0067428898286619725,0.039710324048072426,0.12350597609561753,0.1223021582733813,0.06772908366533864,0.1223021582733813,0.04083665338645418,0.1366906474820144,0.03188521323236349,0.17985611510791366
khanhha,cracktree200_6266.jpg,noisy2,anchor,True,verified_frangi_ofs,0.0027702487244897957,0.00011064716818509623,0.0,0.33925628662109375,0.00047831632653061223,0.6964765191078186,0.004627913146234263,0.035269368217988054,0.09163346613545817,0.12949640287769784,0.053784860557768925,0.12949640287769784,0.03286852589641434,0.14388489208633093,0.02869669190912714,0.18705035971223022
