condition,map,n,nonempty_targets,ap_exact_mean,ap_exact_median,ap_exact_ci95_low,ap_exact_ci95_high,ap_tol2_mean,ap_tol2_median,ap_tol2_ci95_low,ap_tol2_ci95_high,precision_top_p01_mean,precision_top_p01_median,precision_top_p01_ci95_low,precision_top_p01_ci95_high,skeleton_recall_top_p01_mean,skeleton_recall_top_p01_median,skeleton_recall_top_p01_ci95_low,skeleton_recall_top_p01_ci95_high,response_mass_near_gt_mean,response_mass_near_gt_median,response_mass_near_gt_ci95_low,response_mass_near_gt_ci95_high,active_fraction_010_mean,active_fraction_010_median,active_fraction_010_ci95_low,active_fraction_010_ci95_high
original,frangi_similarity_historical,30,26,0.3212715613765192,0.2627563369749023,0.2154783870662312,0.4326565402360354,0.3439668165299905,0.29678070862016703,0.24238063011572217,0.4464807579886525,0.4146082337317397,0.3406374501992032,0.28119189907038517,0.5482370517928286,0.25618998463603354,0.22273542269337054,0.17761277327170796,0.33820669947825027,0.22762466888719549,0.1334434263408184,0.14217205683855963,0.3151725170072555,0.1914580676020408,0.194644850127551,0.16693754650297613,0.21491220902423466
original,fusion_ofs_profile,30,26,0.18996122175121222,0.14454369038913656,0.13505745634710917,0.25545799815015624,0.18557335263613872,0.14418716366928946,0.1308981494269418,0.24848045541070599,0.32290836653386457,0.27689243027888444,0.2111935590969455,0.44788512616201814,0.4276512346819074,0.4018959435626102,0.30942472170403756,0.5481093905333291,0.44682792083670697,0.40270601212978363,0.327079589337421,0.5635738953327138,0.014515571853741496,0.006387515943877551,0.008645085964073129,0.021898567044005095
original,fusion_precision,30,26,0.19118208683363067,0.14541255975807327,0.1350543990174009,0.25438280961846144,0.18482363645290908,0.14206187845907634,0.1333874831604514,0.25072789684355745,0.3217795484727756,0.28784860557768926,0.21028220451527224,0.43619853917662677,0.4344400874588453,0.4018959435626102,0.318452541158989,0.5495209994898814,0.4370529257381956,0.383716881275177,0.32030979634728285,0.5564187562651931,0.01611793154761905,0.007204639668367346,0.009419460166879253,0.02346531874468537
original,fusion_reflectance,30,26,0.18989483145819716,0.13845233397667667,0.13026400279193218,0.25341400734071723,0.18422316310250395,0.1428708695805353,0.13133855446376425,0.25023366192364865,0.31467463479415675,0.2729083665338645,0.20039508632138114,0.4355262284196547,0.42785190130618694,0.3986802894848872,0.3091123760562328,0.5496825525004202,0.4261029614135623,0.34301695227622986,0.30508116813066105,0.5498407943112155,0.01787375106292517,0.00759327168367347,0.010821857063137756,0.02546003069196427
original,line_step_bic,30,26,0.1583075100349107,0.15405581648565933,0.11977673343788821,0.2002272447679753,0.14705613145816915,0.14056628486203337,0.11434381988728362,0.1846556847118631,0.298207171314741,0.2788844621513944,0.2113545816733068,0.39110225763612216,0.45829440220085504,0.4681424719738896,0.34697616045621515,0.5661784885552529,0.12086859180902441,0.10630764439702034,0.08593248752101015,0.16333483413870756,0.2171323607568027,0.23295001594387754,0.18625373684630106,0.2475046835140306
original,ofs,30,26,0.18958295135613953,0.13519867876445849,0.12982676255567577,0.25987200724485776,0.1950061948149337,0.14707724813375803,0.13748818295211826,0.26667985414870327,0.31819389110225765,0.2400398406374502,0.20039840637450201,0.43745683930942897,0.40455746055408526,0.37420178799489145,0.2960062935784896,0.5205482349837416,0.4634332776069641,0.4331320524215698,0.34202761174800494,0.5860424039761225,0.010747502125850341,0.0025510204081632655,0.00503956074617347,0.018568073713860538
original,ofs_reflectance,30,26,0.18868556377021864,0.11791346038724748,0.12563396101423727,0.2628940773480727,0.19431469955847522,0.14537841674081486,0.13196055501925738,0.2673611558245144,0.3112217795484727,0.199203187250996,0.19899900398406375,0.4345351925630811,0.3887627621853166,0.3230404571725437,0.2816295591518031,0.5009482262815566,0.4554308739801248,0.43568840622901917,0.3308715629391372,0.5805153991778692,0.011675568664965988,0.0027004942602040817,0.005525815795068028,0.019652888499149656
original,paired_profile,30,26,0.15368736876071093,0.15505708903207105,0.11636758537522392,0.1903858602750074,0.13375050792639584,0.1427829655373091,0.10675166475356493,0.1608774226744571,0.2953519256308101,0.26195219123505975,0.20763280212483398,0.38687250996015926,0.4734835419725129,0.5136937703987512,0.36423022036886754,0.5813172003764296,0.0705090400762856,0.06167677789926529,0.05048394303147991,0.09194533137371762,0.4435686383928571,0.4476741868622449,0.4371495004251701,0.44962654788477896
original,phase_symmetry,30,26,0.2028215433876603,0.19418928544667335,0.15194236445217316,0.257817681153708,0.20593000682554333,0.18077368754557477,0.15586389475352658,0.26348729692579487,0.3452191235059761,0.33366533864541836,0.24216467463479413,0.4475448207171316,0.5347317563117033,0.6353330577468508,0.41940756935162893,0.6442138912985854,0.10098788724280894,0.07977129891514778,0.06810596951283515,0.14004742382521118,0.3402961575255102,0.3447265625,0.33174254955888605,0.3486968039168793
original,verified_frangi_bic,30,26,0.21767151064929385,0.1881841992546162,0.15890223486792718,0.27592523502655375,0.20496992037716152,0.18595613155796803,0.153204846211743,0.26045831781022766,0.3549136786188579,0.3187250996015936,0.23949203187250998,0.4781573705179282,0.40020425667878345,0.41333698230249954,0.29414683207626363,0.5002464456770227,0.23333147391676903,0.18280785530805588,0.15090528109731774,0.32798467384651303,0.10420918367346937,0.08109454719387754,0.08435335950786564,0.12329868861607143
original,verified_frangi_consensus,30,26,0.18127456958763055,0.12206309979166619,0.12132991106336917,0.2494504157397217,0.1755638831720693,0.11971032710476179,0.1188347748909738,0.24278898005215596,0.30916334661354583,0.17330677290836655,0.19309096945551132,0.43713313413014604,0.39122230620280224,0.3500732370788868,0.28002002344883653,0.5079657120731156,0.43146225724679726,0.3754664808511734,0.3084162761585321,0.55511248334699,0.013605442176870748,0.006845902423469387,0.008585246598639455,0.01907088714392007
original,verified_frangi_ofs,30,26,0.1864249183169107,0.12000294251935054,0.12024283052652525,0.26043997296668797,0.18612270321740684,0.12129386305467645,0.12419240331603552,0.2579801740907332,0.3110225763612218,0.16932270916334663,0.191273240371846,0.4405129482071713,0.37455003663552416,0.35418846341633536,0.2629471545866079,0.482163356223455,0.4424958614477267,0.42153213918209076,0.32023335461427144,0.5695141429954673,0.013182265093537414,0.004932637117346939,0.00794154575892857,0.019929282259778913
original,verified_frangi_v2,30,26,0.1757423245351622,0.1495675281638274,0.12971465446250463,0.22278420867042595,0.16415540166700313,0.1584153532608642,0.12159592075400123,0.20624204383958247,0.32430278884462155,0.28187250996015933,0.22129980079681275,0.4444920318725099,0.45325166554799995,0.43988323298668125,0.3530383524887156,0.5540083961695943,0.2166726511903107,0.15030453354120255,0.13934156918665394,0.30589383173113066,0.09078709608843538,0.07279376594387754,0.07305129278273811,0.10871062194409012
