run,run_label,epoch,paper_model,paper_label,dataset,sam2_precision,paper_precision,delta_precision_sam2_minus_paper,sam2_recall,paper_recall,delta_recall_sam2_minus_paper,sam2_dice,paper_dice,delta_dice_sam2_minus_paper,sam2_iou,paper_iou,delta_iou_sam2_minus_paper,iou_source,pr_re_f1_source
epoch30,Frangi — époque 30,30,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",khanhha_noisy1,0.7164969839771359,,,0.7227568591594147,,,0.6886658836579946,,,0.5679640854632938,0.5466,0.021364085463293825,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch30,Frangi — époque 30,30,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",khanhha_noisy2,0.6246331201584143,,,0.5847993920724232,,,0.567160630950271,,,0.47142076466066923,0.4763,-0.0048792353393307675,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch30,Frangi — époque 30,30,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",road420,0.8117257156649146,,,0.5829133239885322,,,0.6014414071786416,,,0.4586471636242635,0.6149,-0.1562528363757365,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch30,Frangi — époque 30,30,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",facade390,0.5528948740894948,,,0.9045059274357504,,,0.6509092346104095,,,0.4961800994121404,0.4718,0.02438009941214042,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch30,Frangi — époque 30,30,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",concrete3k,0.9103761802497523,,,0.7350919737368146,,,0.7936896699164684,,,0.6895959141668415,0.6718,0.017795914166841564,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch30,Frangi — époque 30,30,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",MACRO_6_DATASETS,0.7285697882265726,,,0.7150864901163462,,,0.6741286022439693,,,0.5509111705704557,0.5718166666666668,-0.020905496096211063,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch30,Frangi — époque 30,30,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",PONDERE_IMAGES,0.7690969717066457,,,0.7091770552918214,,,0.7054950600048122,,,0.5925125474238879,0.59498347386172,-0.0024709264378320883,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch30,Frangi — époque 30,30,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",khanhha_original,0.7552918552197239,0.762,-0.0067081447802761485,0.760451464305142,0.7918,-0.03134853569485796,0.7429047871500297,0.7639,-0.0209952128499703,0.6216589960955258,0.6416,-0.019941003904474175,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch30,Frangi — époque 30,30,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",khanhha_noisy1,0.7164969839771359,,,0.7227568591594147,,,0.6886658836579946,,,0.5679640854632938,0.5782,-0.010235914536706248,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch30,Frangi — époque 30,30,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",khanhha_noisy2,0.6246331201584143,,,0.5847993920724232,,,0.567160630950271,,,0.47142076466066923,0.4915,-0.02007923533933076,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch30,Frangi — époque 30,30,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",road420,0.8117257156649146,,,0.5829133239885322,,,0.6014414071786416,,,0.4586471636242635,0.6222,-0.16355283637573648,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch30,Frangi — époque 30,30,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",facade390,0.5528948740894948,,,0.9045059274357504,,,0.6509092346104095,,,0.4961800994121404,0.4544,0.04178009941214039,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch30,Frangi — époque 30,30,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",concrete3k,0.9103761802497523,,,0.7350919737368146,,,0.7936896699164684,,,0.6895959141668415,0.6798,0.009795914166841557,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch30,Frangi — époque 30,30,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",MACRO_6_DATASETS,0.7285697882265726,,,0.7150864901163462,,,0.6741286022439693,,,0.5509111705704557,0.57795,-0.027038829429544275,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch30,Frangi — époque 30,30,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",PONDERE_IMAGES,0.7690969717066457,,,0.7091770552918214,,,0.7054950600048122,,,0.5925125474238879,0.6046760539629005,-0.012163506539012547,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch55,Frangi — époque 55,55,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",khanhha_original,0.7576713954148829,0.7676,-0.009928604585117018,0.7588108276778982,0.7965,-0.03768917232210178,0.7433005902118791,0.7704,-0.027099409788120865,0.6221120843362372,0.6495,-0.027387915663762752,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch55,Frangi — époque 55,55,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",khanhha_noisy1,0.7158390284381544,,,0.7163275170178565,,,0.6846160252588099,,,0.5644447003186475,0.5466,0.01784470031864749,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch55,Frangi — époque 55,55,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",khanhha_noisy2,0.6209828334726916,,,0.5732237817443783,,,0.5589950058724886,,,0.46498136343630636,0.4763,-0.01131863656369364,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch55,Frangi — époque 55,55,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",road420,0.8196428436370181,,,0.5579754593498165,,,0.5839173562802655,,,0.44107489662361327,0.6149,-0.17382510337638674,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch55,Frangi — époque 55,55,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",facade390,0.5622184629713678,,,0.894949466961533,,,0.6513033791846825,,,0.49656899374218216,0.4718,0.024768993742182166,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch55,Frangi — époque 55,55,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",concrete3k,0.9077246656345181,,,0.7367696185936676,,,0.7939442588627997,,,0.6901604001761805,0.6718,0.01836040017618057,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch55,Frangi — époque 55,55,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",MACRO_6_DATASETS,0.7306798715947721,,,0.706342778557525,,,0.6693461026118208,,,0.5465570731055278,0.5718166666666668,-0.025259593561138938,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch55,Frangi — époque 55,55,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",PONDERE_IMAGES,0.7686177923504267,,,0.7044027706732939,,,0.7025184465750224,,,0.5900788899026959,0.59498347386172,-0.004904583959024156,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch55,Frangi — époque 55,55,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",khanhha_original,0.7576713954148829,0.762,-0.00432860458511708,0.7588108276778982,0.7918,-0.032989172322101745,0.7433005902118791,0.7639,-0.020599409788120915,0.6221120843362372,0.6416,-0.019487915663762734,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
