comparison,dataset,metric,reference_mean,candidate_mean,samples,mean_delta,std_delta,median_delta,p05_delta,p95_delta,ci95_low,ci95_high,gains,ties,losses,losses_below_minus_005,losses_below_minus_010
matching_vs_shifted,khanhha_noisy2,dice,0.28535292820239405,0.5290019742293767,1695,0.24364904602698262,0.3742604438198441,0.14713406052075995,-0.0735436623668145,0.8040620810007929,0.2258029351125076,0.2613878823320325,1182,349,164,94,76
matching_vs_shifted,road420,iou,0.13576713134778942,0.35690252533553485,420,0.22113539398774543,0.2506387515171349,0.189595129293032,-0.10411991184111567,0.667770335182596,0.19697107979399595,0.24493622629186254,357,18,45,26,22
matching_vs_shifted,road420,dice,0.19116166672364676,0.47767049923890376,420,0.28650883251525705,0.31256726031896354,0.25826996453038603,-0.08531001729419962,0.7944187254770753,0.2561518509711923,0.3166616749196969,357,18,45,27,20
matching_vs_shifted,facade390,iou,0.15438655629339393,0.39678402061607543,390,0.24239746432268153,0.2879885384108323,0.22587758321164808,-0.1646198580550219,0.691424208758286,0.21433510036636413,0.27095611267493824,285,28,77,51,33
matching_vs_shifted,facade390,dice,0.21176119904537996,0.5168656649602154,390,0.30510446591483537,0.3506886528387116,0.284292185108307,-0.17644581166731604,0.8143499955971704,0.26948674898915037,0.33949965655745085,285,28,77,57,35
matching_vs_shifted,concrete3k,iou,0.2006544185659092,0.6592643842493463,3000,0.45860996568343704,0.32338266289096046,0.543812186644242,-0.0025718601478360286,0.8549374569292344,0.4471448233330075,0.47034113952145956,2761,77,162,52,28
matching_vs_shifted,concrete3k,dice,0.25295389554398373,0.7706570504389626,3000,0.5177031548949788,0.3665309396348093,0.6673312901871609,-0.002001306400742868,0.9204995244460553,0.5046013368527529,0.5307525802002255,2761,77,162,44,20
frangi_epoch20_prompt_vs_none,khanhha_original,iou,0.6226190085159142,0.6221042065954592,1695,-0.0005148019204551202,0.037343200453527195,0.0,-0.012753550468234997,0.0154170881782878,-0.0025351257579321025,0.000998652634600275,807,230,658,13,5
frangi_epoch20_prompt_vs_none,khanhha_original,dice,0.74384914917531,0.7433969835592719,1695,-0.00045216561603794936,0.038007190885317246,0.0,-0.010848569018612074,0.013617692147471381,-0.002504584973087691,0.0011117826172692467,807,230,658,13,7
frangi_epoch20_prompt_vs_none,khanhha_noisy1,iou,0.5663659937139918,0.5671702719139617,1695,0.000804278199969883,0.03933610483688489,0.0,-0.015647557515085054,0.02134456383621413,-0.0011166499768879784,0.0025898332836423545,684,272,739,14,7
frangi_epoch20_prompt_vs_none,khanhha_noisy1,dice,0.6864491111257272,0.6876911884994982,1695,0.0012420773737710292,0.04720446026449177,0.0,-0.015187595599694991,0.020012586507393047,-0.0009821921904785828,0.0035323234937996027,684,272,739,15,7
frangi_epoch20_prompt_vs_none,khanhha_noisy2,iou,0.4830532646288599,0.4848449934688206,1695,0.001791728839960712,0.0471983377038407,0.0,-0.019589933277209988,0.02360947672231886,-0.0003749986218185103,0.00403000679635395,553,491,651,35,14
frangi_epoch20_prompt_vs_none,khanhha_noisy2,dice,0.5805089009425181,0.5837138133800122,1695,0.0032049124374942763,0.06149467795000341,0.0,-0.019238929423950345,0.022866653308557944,0.00040942677123539587,0.006214542386848007,553,491,651,39,21
frangi_epoch20_prompt_vs_none,road420,iou,0.467531536428341,0.4745337872293983,420,0.007002250801057342,0.04816298119257112,-0.0005706918555470758,-0.04611074078707169,0.09037799418817065,0.002419960486810445,0.011703770984295338,202,5,213,13,4
frangi_epoch20_prompt_vs_none,road420,dice,0.606295158953397,0.6168933541689894,420,0.010598195215592549,0.06013288598416499,-0.0004859259977399999,-0.04105648383971212,0.11229399591211651,0.005038015490214358,0.016455058434267353,202,5,213,11,4
